Species,Fire exposure (%),Metal exposure (%)
Centrosema_grazielae,16.84,1.01
Centrosema_macrocarpum,3.45,1.86
Centrosema_plumieri,2.56,9.44
Centrosema_tapirapoanense,5.21,5.48
Centrosema_triquetrum,1.64,7.33
Centrosema_venosum,10.99,4.88
Centrosema_vexillatum,3.31,4.66
Ceroxylon_amazonicum,0,0.12
Cestrum_acuminatissimum,0.46,6.69
Cestrum_humboldtii,1.03,8.49
Cestrum_mariquitense,5.02,9.01
Cestrum_strigilatum,4.3,8.26
Cestrum_tomentosum,2.82,1.82
Chaetocalyx_klugii,1.96,6.26
Chaetocarpus_echinocarpus,8.47,8.81
Chaetocarpus_schomburgkianus,2.58,14.3
Chamaecostus_congestiflorus,0.68,8.35
Chamaecostus_fusiformis,14.21,4.32
Chamaecostus_lanceolatus,6.27,8.09
Chamaecostus_subsessilis,8.31,3.4
Chamaecrista_didyma,12.98,4.99
Chamaecrista_diphylla,4.76,10.67
Chamaecrista_egleri,4.64,0
Chamaecrista_fagonioides,3.79,1.67
Chamaecrista_trichopoda,13.49,1.41
Chamaedorea_angustisecta,2.92,2.84
Chamaedorea_fragrans,1.37,0.73
Chamaedorea_pinnatifrons,1.35,5.74
Chamissoa_acuminata,3.79,4.49
Chamissoa_altissima,2.55,13.38
Chaunochiton_angustifolium,1.25,3.38
Cheiloclinium_cognatum,3.13,19.31
Cheiloclinium_gleasonianum,0.32,0.52
Cheiloclinium_hippocrateoides,1.85,14.44
Cheiloclinium_obtusum,1.03,7.83
Cheiloclinium_serratum,5.6,2.65
Chelonanthus_angustifolius,1.07,2.66
Chelonanthus_grandiflorus,1.87,7.99
Chelonanthus_purpurascens,1.96,12.37
Chelyocarpus_repens,0.19,0
Chelyocarpus_ulei,0.86,1.24
Chimarrhis_barbata,4.53,29.46
Chimarrhis_brevipes,0.32,0
Chimarrhis_duckeana,0.73,1.49
Chimarrhis_glabriflora,1.28,4.7
Chimarrhis_microcarpa,0.49,4.75
Chiococca_alba,1.58,10.5
Chloris_radiata,1.39,7.02
Chlorocardium_rodiei,0.15,3.47
Chlorocardium_venenosum,0.46,0.65
Chloroleucon_acacioides,5.16,8.01
Chlorospatha_longipoda,0.08,0.42
Chomelia_anisomeris,5.42,0.88
Chomelia_caurensis,0.42,1.25
Chomelia_grandifolia,12.95,0.01
Chomelia_parviflora,13.24,1.64
Chomelia_schomburgkii,0.15,0
Chomelia_tenuiflora,2.94,16.8
Christensonella_uncata,1.08,3.22
Christianella_glandulifera,1.36,0.01
Chromolaena_laevigata,3.73,15.65
Chromolaena_odorata,3.14,16.39
Chromolaena_pharcidodes,0.45,0.35
Chromolaena_thurnii,0.77,2.4
Chromolaena_tyleri,0.71,0.05
Chrysobalanus_venezuelanus,0.16,0
Chrysochlamys_macrophylla,1.53,2.59
Chrysochlamys_membranacea,0.9,8.8
Chrysochlamys_tenuifolia,0.05,0.61
Chrysochlamys_ulei,1.97,3.06
Chrysochlamys_weberbaueri,0.91,10.4
Chrysophyllum_albipilum,6.89,0
Chrysophyllum_amazonicum,1.84,15.02
Chrysophyllum_argenteum,1.46,14.82
Chrysophyllum_colombianum,0.2,3.37
Chrysophyllum_pomiferum,1.1,12.01
Chrysophyllum_prieurii,1.24,14.03
Chrysophyllum_sanguinolentum,0.84,69.42
Chrysophyllum_scalare,0.28,2.7
Chrysophyllum_sparsiflorum,3.61,12.53
Chrysophyllum_venezuelanense,1.46,9.74
Chusquea_linearis,0.72,0.04
Cienfuegosia_affinis,6.68,2.7
Cinchona_calisaya,1.95,3.57
Cinchona_micrantha,2.72,4.25
Cinchona_pubescens,0.91,4.74
Cipura_paludosa,4.29,12.09
Cissampelos_fasciculata,0.96,2.08
Cissampelos_tropaeolifolia,2.37,13.32
Cissus_descoingsii,1.7,7.76
Cissus_erosa,3.2,20.55
Cissus_glaucotricha,2.43,1.37
Cissus_microcarpa,1.64,5.99
Cissus_neei,1.53,2.01
Cissus_palmata,2.18,1.59
Cissus_pseudoverticillata,3.21,0.03
Cissus_spinosa,5.24,11.06
Cissus_trigona,0.63,6.55
Citharexylum_poeppigii,2.96,8.46
Citronella_incarum,0.81,5.1
Citronella_melliodora,1.82,4.92
Cladium_costatum,1.11,0.16
Clarisia_ilicifolia,3.03,16.37
Clathrotropis_brachypetala,0.37,6.42
Clathrotropis_nitida,0.3,1.13
Clathrotropis_paradoxa,0.04,0.01
Clavija_elliptica,1.22,0.68
Clavija_imatacae,2.02,7.47
Clavija_ornata,1.31,0.1
Clavija_poeppigii,2.38,1.85
Clavija_venosa,0.34,1.61
Clavija_weberbaueri,1.51,7.88
Cleidion_amazonicum,3.64,8.32
Clematis_guadeloupae,0.33,4.03
Clerodendrum_tessmannii,5.2,0.01
Clibadium_surinamense,0.8,11.76
Clibadium_sylvestre,0.72,10.06
Clidemia_alternifolia,0.33,1.51
Clidemia_attenuata,0.25,8.62
Clidemia_bernardii,0.64,0.93
Clidemia_biserrata,14.19,1.95
Clidemia_bullosa,2.47,15.55
Clidemia_conglomerata,0.23,3.97
Clidemia_epiphytica,0.82,6.44
Clidemia_ferox,2.92,0
Clidemia_heteroneura,2.13,0.29
Clidemia_heterophylla,0.82,3
Clidemia_hirta,2.29,18.3
Clidemia_juruensis,1.51,2.97
Clidemia_pycnaster,0.23,5.34
Clidemia_septuplinervia,0.64,9.71
Clidemia_serpens,1.07,1.62
Clidemia_sessiliflora,0.83,3.47
Clidemia_simpsonii,1.29,4.15
Clidemia_sprucei,1.1,2.39
Clidemia_strigillosa,1.93,19.26
Clidemia_tococoidea,0.64,1
Clitoria_cavalcantei,1.28,0
Clitoria_coriacea,0.37,0.01
Clitoria_javitensis,1.17,6.38
Clitoria_juninensis,3.19,0
Clitoria_laurifolia,0.56,0.6
Clitoria_obidensis,3.77,0.01
Clusia_asymmetrica,0,0.01
Clusia_carinata,0.44,0.2
Clusia_cerroana,0.19,26.2
Clusia_columnaris,1.57,14.63
Clusia_crassifolia,0.32,1.34
Clusia_drouetiana,10.82,0.01
Clusia_flavida,1.44,15.72
Clusia_fructiangusta,0.27,0.54
Clusia_grandiflora,1.09,10.05
Clusia_hoffmannseggiana,6.97,1.6
Clusia_laxiflora,0.1,2.91
Clusia_leprantha,2.14,14.68
Clusia_loretensis,1.33,4.29
Clusia_macropoda,0.58,1.1
Clusia_martiana,2.18,8.87
Clusia_microstemon,1.22,13.68
Clusia_multiflora,0.78,4.48
Clusia_mutica,0.13,0
Clusia_nemorosa,1.36,13.88
Clusia_nigrolineata,0.99,6.39
Clusia_octandra,1.33,9.8
Clusia_poeppigiana,0.15,1.54
Clusia_polysepala,8.74,14.48
Clusia_pusilla,0.42,1.35
Clusia_radicans,0.07,2.96
Clusia_renggerioides,1.55,11.75
Clusia_schultesii,0.7,0.92
Clusia_sipapoana,0.94,3.78
Clusia_spathulifolia,0.17,0.39
Clusia_tarmensis,2.67,1.05
Clusia_williamsii,16,0
Cnestidium_guianense,0.18,5.02
Coccocypselum_aureum,2.72,7.29
Coccocypselum_brevipetiolatum,1.64,0.85
Coccoloba_acuminata,2.08,6.24
Coccoloba_charitostachya,2.61,9.6
Coccoloba_declinata,5.81,3.95
Coccoloba_latifolia,1.85,1.44
Coccoloba_lehmannii,1.48,8.33
Coccoloba_lucidula,4.06,12.62
Coccoloba_mollis,3.87,17.94
Coccoloba_orinocana,1.24,2.15
Coccoloba_peruviana,2.06,3.48
Cochliasanthus_caracalla,3.47,2.74
Cochlospermum_orinocense,3.8,19.11
Cochlospermum_regium,12.24,8.06
Cochlospermum_vitifolium,3.59,9.22
Codonanthopsis_dissimulata,0.87,2.43
Codonanthopsis_ulei,0.76,4.47
Coleataenia_scabrida,0.23,0.97
Columnea_calotricha,0.35,4.69
Columnea_guianensis,0.53,0.13
Columnea_oerstediana,0.2,0.01
Columnea_sanguinea,1.62,4.72
Comanthera_jenmanii,0.37,3.47
Comanthera_kegeliana,0.38,6.78
Combretum_cacoucia,2.14,45.9
Combretum_fruticosum,3.86,18.11
Combretum_hilarianum,9.42,0.88
Combretum_leprosum,9.76,4.55
Combretum_paraguariense,1.85,12.02
Combretum_pyramidatum,2.75,14.77
Combretum_rotundifolium,1.42,17.64
Combretum_vernicosum,10.2,4
Commelina_obliqua,4.43,3.49
Commelina_rufipes,2.51,17
Comolia_prostrata,0.07,0
Compsoneura_capitellata,0.69,12.03
Compsoneura_debilis,0.54,0.56
Compsoneura_sprucei,0.78,8.14
Conceveiba_guianensis,2.19,17.89
Conceveiba_terminalis,0.44,3.74
Conceveiba_tristigmata,0.07,0
Conchocarpus_guyanensis,1.58,8.97
Condaminea_corymbosa,0.87,5.28
Condylocarpon_amazonicum,1.84,8.11
Connarus_coriaceus,2.38,12.33
Connarus_ecuadorensis,0.08,0.69
Connarus_elsae,3.16,0.5
Connarus_erianthus,3.58,8.14
Connarus_lambertii,12.49,7.5
Connarus_marlenei,2.2,0
Connarus_patrisii,0.88,34.81
Connarus_punctatus,2.87,17.9
Connarus_rigidus,1.08,3.3
Connarus_ruber,2.27,8.74
Conobea_aquatica,1.59,6.61
Conostegia_montana,0.07,0.54
Copaifera_camibar,0.6,1.11
Copaifera_duckei,13.95,1.59
Copaifera_epunctata,3.23,0
Copaifera_langsdorffii,12.33,3.89
Copaifera_multijuga,2.77,6.33
Copaifera_officinalis,0.95,7.71
Copaifera_pubiflora,1.2,7.09
Copaifera_reticulata,4.03,8.7
Cordia_alliodora,3.52,14.95
Cordia_bicolor,2.51,20.85
Cordia_cymosa,0.08,0.23
Cordia_eriostigma,2.5,0.98
Cordia_goeldiana,5.56,6.42
Cordia_hebeclada,1.37,3.56
Cordia_kingstoniana,1.87,7.52
Cordia_mexiana,0.93,1.82
Cordia_naidophila,2.2,1.64
Cordia_nervosa,0.19,0
Cordia_sellowiana,5.5,10.35
Cordia_sericicalyx,0.85,7.56
Cordia_tetrandra,2.87,15.7
Cordia_toqueve,4.7,13.85
Cordiera_triflora,4.48,13.6
Corythophora_alta,0.69,0.37
Corythophora_labriculata,0.3,2.99
Cosmibuena_grandiflora,0.82,12.51
Costus_acreanus,2.32,1.84
Costus_arabicus,3.17,19.69
Costus_erythrophyllus,1.31,4.53
Costus_erythrothyrsus,2.04,9.37
Costus_guanaiensis,2.01,12.12
Costus_juruanus,2.43,0
Costus_lasius,3.22,7.26
Costus_scaber,2.13,19.45
Couepia_chrysocalyx,0.75,4.84
Couepia_cidiana,2.03,0
Couepia_eriantha,0.7,4.69
Couepia_excelsa,2.75,20.12
Couepia_macrophylla,1.02,1.99
Couepia_marleneae,3.22,4.75
Couepia_multiflora,1.18,15.25
Couepia_obovata,0.87,8.2
Couepia_paraensis,2.4,13.21
Couepia_reflexa,1.06,0
Couepia_robusta,5.18,7.52
Couepia_sandwithii,0,0.01
Couepia_spicata,0.71,1.32
Couepia_trapezioana,0.11,0.61
Couepia_ulei,1,3.38
Couma_guianensis,1.34,25.62
Couma_rigida,1.94,5.34
Couma_utilis,2.48,8.42
Couratari_atrovinosa,5.45,3.1
Couratari_guianensis,1.81,17.68
Couratari_longipedicellata,1.63,0
Couratari_macrosperma,5.64,5.26
Couratari_oblongifolia,3.71,5.3
Couratari_oligantha,1.7,10.89
Couroupita_subsessilis,1.58,4.99
Coussapoa_angustifolia,0.36,3.71
Coussapoa_asperifolia,1.42,16.98
Coussapoa_ferruginea,0.06,0.57
Coussapoa_latifolia,0.98,11.37
Coussapoa_longepedunculata,0.05,1.32
Coussapoa_microcephala,0.23,3.81
Coussapoa_nitida,0.97,2.73
Coussapoa_parvifolia,0.53,6.72
Coussapoa_tessmannii,0.92,5.35
Coussapoa_villosa,1.97,11.19
Coussapoa_viridifolia,0.34,5.44
Coussarea_ampla,2.05,4.77
Coussarea_brevicaulis,1,17.83
Coussarea_duckei,2.43,0
Coussarea_insignis,3.37,0.97
Coussarea_klugii,0.07,1.26
Coussarea_liliiflora,0.98,0.61
Coussarea_machadoana,0.53,6.13
Coussarea_macrophylla,0.15,2.73
Coussarea_mapourioides,0.04,5.14
Coussarea_megalocarpa,1.96,0
Coussarea_micrococca,0.47,10.17
Coussarea_resinosa,1.38,2.02
Coussarea_spiciformis,0,2.77
Coussarea_tenuiflora,1.12,2.64
Coussarea_tortilis,1.82,1.6
Coutarea_hexandra,4.51,13.81
Coutoubea_minor,1.25,0.44
Coutoubea_reflexa,0.87,3.18
Coutoubea_spicata,2.19,15.37
Crateva_tapia,2.56,15.15
Cremastosperma_cauliflorum,0.33,0.73
Cremastosperma_gracilipes,0.14,1.06
Cremastosperma_megalophyllum,0.15,2.1
Cremastosperma_microcarpum,0.76,0.94
Cremastosperma_monospermum,5.91,8.68
Crepidospermum_prancei,0.46,0.74
Crescentia_amazonica,1.07,1.37
Crinum_americanum,1.16,0.21
Crotalaria_micans,3.36,8.62
Crotalaria_pilosa,1.24,1.28
Crotalaria_stipularia,1.74,3.07
Croton_argenteus,4.81,5.36
Croton_cuneatus,1.69,15.97
Croton_diasii,2.46,0
Croton_dissectistipulatus,0,0
Croton_glandulosus,4.13,2.8
Croton_lechleri,1.22,5.48
Croton_matourensis,2.9,20.75
Croton_mollis,0.92,5.58
Croton_nuntians,0.15,0
Croton_paraensis,2.43,0
Croton_pullei,1.06,4.41
Croton_schiedeanus,1.06,7.53
Croton_sipaliwinensis,2.36,2.19
Croton_subincanus,0.19,7.5
Croton_subserratus,5.35,7.27
Croton_trombetensis,6.86,1.44
Croton_vergarenae,11.27,0
Croton_yavitensis,3.56,5.73
Crudia_aequalis,1.81,0.43
Crudia_amazonica,1.51,53.39
Ctenium_concissum,3.13,0.18
Cupania_cinerea,2.59,13.51
Cupania_diphylla,3.47,61.42
Cupania_hirsuta,0.75,8.21
Cupania_hispida,1.06,4.82
Cupania_oblongifolia,1.47,1.56
Cupania_rubiginosa,2.48,14.42
Cupania_vernalis,9.54,3.34
Cuphea_blackii,0.49,1.17
Curarea_candicans,0.19,4.4
Curarea_toxicofera,1.67,4.78
Curatella_americana,5.32,15.74
Curtia_quadrifolia,0,0
Cuspidaria_emmonsii,3.42,5.54
Cuspidaria_lateriflora,7.79,4.6
Cybianthus_amplus,2.22,17.13
Cybianthus_buchtienii,6.51,3.03
Cybianthus_detergens,14.61,6.85
Cybianthus_flavovirens,5.7,0.03
Cybianthus_guyanensis,1.69,19.46
Cybianthus_lepidotus,1.19,6.62
Cybianthus_marginatus,1.78,8.3
Cybianthus_microbotrys,0.06,3.05
Cybianthus_minutiflorus,0.93,8.84
Cybianthus_oblongifolius,13.16,0.53
Cybianthus_penduliflorus,3.55,9.75
Cybianthus_peruvianus,1.96,8.81
Cybianthus_poeppigii,0.47,4.02
Cybianthus_prieurii,2.46,12.53
Cybianthus_ruforamulus,3.11,0
Cybianthus_spicatus,2.02,12.12
Cybianthus_surinamensis,0.58,5.72
Cyclanthus_bipartitus,2.56,12.69
Cyclanthus_indivisus,0.03,0.47
Cymbopetalum_aequale,0.15,0.5
Cymbopetalum_brasiliense,2.04,16.82
Cymbopetalum_euneurum,4.8,1.01
Cymbopetalum_schunkei,0,1.61
Cynometra_bauhiniifolia,1.15,16.62
Cynometra_cuneata,0,0.01
Cynometra_longicuspis,0.87,3.3
Cynometra_macrocarpa,1.12,0.08
Cynometra_marleneae,0,0.56
Cynometra_parvifolia,0.17,0
Cynometra_stenopetala,5.84,11.01
Cynophalla_polyantha,2.37,6.32
Cyperus_aggregatus,3.14,18.93
Cyperus_giganteus,2.03,10.18
Cyperus_grandisimplex,14.33,0.01
Cyperus_guianensis,0.51,0.01
Cyperus_lacustris,2.43,4.09
Cyperus_laxus,2.97,22.13
Cyperus_ligularis,1.66,5.13
Cyperus_meyenianus,2.5,5.44
Cyperus_miliifolius,1.29,14.89
Cyperus_mutisii,2.61,2.52
Cyperus_simplex,3.02,18.47
Cyperus_surinamensis,3.03,14.66
Cyrilla_racemiflora,0.26,4.5
Cyrtopodium_cachimboense,6.51,0.01
Cyrtopodium_cristatum,0.66,18.15
Dacryodes_chimantensis,0.54,3.42
Dacryodes_cuspidata,0.3,0.3
Dacryodes_glabra,0.65,0.95
Dacryodes_microcarpa,4.43,6.63
Dacryodes_nitens,0.92,14.75
Dacryodes_paraensis,7.83,4.52
Dacryodes_peruviana,0.81,7.92
Dacryodes_sclerophylla,2.51,9.42
Dacryodes_steyermarkii,0,0.95
Dalbergia_amazonica,1.05,9.17
Dalbergia_gracilis,5.34,6.6
Dalbergia_hygrophila,1.2,3.56
Dalbergia_intermedia,3.81,1.17
Dalbergia_inundata,1.24,8.79
Dalbergia_riedelii,2.33,17.42
Dalbergia_spruceana,4.37,11.47
Dalbergia_subcymosa,3.23,8.23
Dalechampia_affinis,2.42,10.41
Dalechampia_attenuistylus,3.85,0
Dalechampia_bangii,4.22,0.07
Dalechampia_brownsbergensis,0.71,0
Dalechampia_fragrans,1.68,2.46
Dalechampia_heterobractea,0.14,5.01
Dalechampia_micrantha,2.09,21.12
Dalechampia_olympiana,0.44,0
Dalechampia_tenuiramea,4.71,5.8
Dalechampia_uleana,16.21,0
Daphnopsis_filipedunculata,6.56,0.39
Davilla_alata,0.23,2.46
Davilla_cearensis,11.8,1.23
Davilla_lanosa,21.1,0
Davilla_nitida,3.45,21.43
Davilla_rugosa,4.1,12.36
Deguelia_amazonica,3.88,13.79
Deguelia_nitidula,6.26,4.81
Deguelia_scandens,2.27,9.84
Deguelia_utilis,0.3,1.88
Dendropanax_cuneatus,5.36,7.31
Dendropanax_fendleri,1.24,0.03
Dendropanax_palustris,2.46,0.69
Dendropanax_resinosus,0.72,0.03
Dendropanax_williamsii,2.78,3.3
Dendrophthora_warmingii,11.48,1.18
Dendrosipanea_spigelioides,0.32,0
Desmodium_adscendens,0.74,5.41
Desmodium_affine,5.11,2.01
Desmodium_axillare,2.71,17.72
Desmodium_barbatum,3.28,18.39
Desmodium_cajanifolium,2.94,16.41
Desmodium_distortum,4.94,5.07
Desmodium_incanum,2.73,4.81
Desmodium_sclerophyllum,8.46,1.64
Desmodium_scorpiurus,3.3,0.86
Desmodium_tortuosum,2.81,1.34
Desmoncus_horridus,3.65,5.33
Desmoncus_latisectus,3.72,0.18
Desmoncus_mitis,2.13,15.41
Desmoncus_polyacanthos,2.44,14.63
Desmoncus_setosus,1.07,0
Desmoncus_vacivus,0.43,0.89
Dialium_guianense,2.41,18.62
Dianthoveus_cremnophilus,0.05,0.71
Diastema_racemiferum,2.42,2.97
Dicella_julianii,1.16,2.63
Dichaea_brachyphylla,7.29,0.02
Dichaea_morrisii,1.64,3.52
Dichaea_pendula,0.51,1.41
Dichaea_picta,1.5,11.98
Dichaea_rendlei,0.14,0
Dichaea_trulla,0.37,2.5
Dichapetalum_asplundeanum,0.06,0
Dichapetalum_froesii,2.24,0.04
Dichapetalum_odoratum,2.31,7.29
Dichapetalum_rugosum,1.8,13.63
Dichapetalum_spruceanum,1.67,5.37
Dichorisandra_densiflora,6.62,0
Dichorisandra_hexandra,2.6,20.15
Dichorisandra_ulei,2.25,6.7
Diclidanthera_penduliflora,3.7,4.73
Diclinanona_calycina,2.33,7.33
Dicliptera_purpurascens,7.41,2.53
Dicranopygium_angustissimum,0.56,0.08
Dicranopygium_imeriense,0.05,0
Dicranopygium_rheithrophilum,0.43,0.01
Dicranostyles_densa,0.49,0
Dicranostyles_falconiana,0.15,0
Dicranostyles_globostigma,0.32,1.73
Dicranostyles_holostyla,1.86,3.91
Dicranostyles_integra,0.27,0.59
Dicranostyles_laxa,0.33,0
Dicranostyles_longifolia,1.72,0.85
Dicranostyles_sericea,0.17,0.91
Dictyocaryum_ptarianum,0.46,0.48
Dictyoloma_vandellianum,9.23,4.42
Dictyostega_orobanchoides,0.87,10.58
Dicymbe_arenicola,5.17,1.6
Dicymbe_bernardii,0.32,0.01
Dicymbe_froesii,0.51,0
Dicymbe_hymenaea,0.39,0.12
Dicymbe_puncticulosa,3.51,0.23
Dicypellium_caryophyllaceum,7.03,1.58
Dicypellium_manausense,1.25,0.42
Dieffenbachia_duidae,0.36,1.63
Dieffenbachia_elegans,0.3,7.51
Dieffenbachia_paludicola,0.17,7.78
Dieffenbachia_smithii,0,0.2
Digomphia_ceratophora,0.5,0.21
Dilkea_lecta,0,0
Dilkea_parviflora,0.39,0.2
Dilodendron_bipinnatum,8.03,3.83
Dimerandra_emarginata,1,4.61
Dimorphandra_caudata,0.05,3.06
Dimorphandra_coccinea,0.67,2.49
Dimorphandra_ignea,0.91,0.01
Dimorphandra_macrostachya,1.63,10.54
Dimorphandra_polyandra,2.99,0
Dimorphandra_pullei,0.61,0.54
Dioclea_apurensis,4.53,6.94
Dioclea_bicolor,6.45,7.76
Dioclea_erecta,14.25,0.15
Dioclea_funalis,2.9,0.01
Dioclea_glabra,6.53,7.68
Dioclea_huberi,3.07,6.73
Dioclea_macrocarpa,1.53,10.13
Dioclea_malacocarpa,1.52,10.99
Dioclea_megacarpa,5.57,3.95
Dioclea_mollicoma,1.32,0
Dioclea_ucayalina,1.41,2.97
Dioclea_virgata,3.3,18.96
Dioscorea_glandulosa,7.39,2.15
Dioscorea_lacerdaei,2.43,0
Dioscorea_laxiflora,5.44,4.29
Dioscorea_megacarpa,1.1,8.65
Dioscorea_pilosiuscula,0.63,0.73
Dioscorea_trifida,2.95,13.88
Diospyros_bullata,1.4,3.71
Diospyros_capreifolia,2.96,13.77
Diospyros_cauligera,0.11,0.01
Diospyros_cayennensis,0.31,4.97
Diospyros_dichroa,0.31,1.31
Diospyros_egleri,1.5,4.65
Diospyros_guianensis,2.09,15.36
Diospyros_inconstans,5.76,7.38
Diospyros_juruensis,5.33,1.48
Diospyros_longifolia,3.43,5.82
Diospyros_longistyla,8.7,5.04
Diospyros_manausensis,0.32,0.31
Diospyros_nur,18.93,0.01
Diospyros_pseudoxylopia,0.12,1.32
Diospyros_ropourea,0.08,2.91
Diospyros_tessmannii,0.31,1.93
Diospyros_yomomo,1.7,0.03
Diplasia_karatifolia,1.59,9.75
Diplopterys_cabrerana,3.01,1.69
Diplopterys_caduciflora,18.19,3.56
Diplopterys_erianthera,0,0.74
Diplopterys_pauciflora,1.25,9.62
Diplotropis_purpurea,2.44,16.62
Diplotropis_rigidocarpa,0.53,0
Diplotropis_triloba,5.52,10.93
Dipteryx_micrantha,1.77,5.02
Dipteryx_odorata,3.17,17.1
Dipteryx_punctata,0.85,7.72
Dipteryx_rosea,3.45,1.29
Disciphania_heterophylla,1.85,3.14
Disciphania_lobata,0.09,3.67
Discocarpus_spruceanus,4.44,3.84
Discophora_montana,1.44,1.13
Disteganthus_basilateralis,0.2,0.24
Disteganthus_lateralis,0.14,1.66
Ditassa_blanchetii,17.14,3.88
Ditassa_pauciflora,0.06,0
Dolichandra_quadrivalvis,5.7,11.54
Doliocarpus_aracaensis,0,0
Doliocarpus_brevipedicellatus,4.06,15.45
Doliocarpus_dentatus,2.86,19.15
Doliocarpus_gracilis,0.1,11.71
Doliocarpus_macrocarpus,1.36,9.51
Doliocarpus_magnificus,5,2.06
Doliocarpus_paraensis,0.34,10.55
Doliocarpus_pruskii,0.94,0.01
Doliocarpus_spraguei,2.14,13.56
Dracontium_asperum,1.05,3.83
Dracontium_ulei,3.55,1.43
Drosera_amazonica,0.91,0
Drosera_biflora,0.9,0
Drosera_capillaris,0.65,5.64
Drosera_cayennensis,4.02,2.79
Drosera_kaieteurensis,0.59,4.09
Dryadella_osmariniana,0.32,0
Drymonia_candida,1.15,8.11
Drymonia_coccinea,1.62,16.69
Drymonia_doratostyla,3.7,2.04
Drymonia_macrophylla,0.73,2.36
Drymonia_serrulata,2.28,17.51
Drypetes_fanshawei,0.15,4.53
Drypetes_variabilis,1.66,64.77
Duckea_flava,0.23,0.14
Duckea_squarrosa,1.28,1.26
Duckeodendron_cestroides,1.19,2.34
Duckesia_verrucosa,4.14,8.6
Duguetia_arenicola,0.32,0.39
Duguetia_argentea,3.27,5.27
Duguetia_asterotricha,3.99,4.75
Duguetia_calycina,1.15,10.65
Duguetia_chrysea,0.57,0.83
Duguetia_decurrens,0.38,2.25
Duguetia_echinophora,5.47,10.08
Duguetia_hadrantha,3.74,8.17
Duguetia_inconspicua,2.5,7.68
Duguetia_latifolia,1.2,7.41
Duguetia_lucida,3.25,12.85
Duguetia_odorata,1.14,24.55
Duguetia_pauciflora,0.15,2.36
Duguetia_schulzii,0,0
Duguetia_surinamensis,2.36,14.05
Duguetia_trunciflora,1.4,9.31
Duguetia_uniflora,0.37,26.14
Dulacia_candida,3.19,11.13
Dulacia_macrophylla,0.45,5.19
Dulacia_redmondii,1,0.1
Dulacia_tepuiensis,1.07,1.57
Duroia_aquatica,0.22,0
Duroia_bolivarensis,0.23,0.53
Duroia_eriopila,0.89,14.99
Duroia_fusifera,0.65,4.43
Duroia_genipoides,3.2,11.13
Duroia_hirsuta,1.2,7.16
Duroia_macrophylla,3.53,8.07
Duroia_saccifera,0.54,2.65
Dussia_discolor,1.62,4.27
Ecclinusa_guianensis,1.38,15.59
Ecclinusa_lancifolia,0.68,10.7
Ecclinusa_ramiflora,2.92,15.51
Echinochloa_polystachya,2.58,11.67
Echinodorus_horizontalis,1.01,7.29
Echinodorus_paniculatus,3.74,1.35
Echinodorus_subalatus,12.85,1.8
Egletes_florida,2.95,0.11
Egletes_viscosa,2.55,3.18
Eichhornia_crassipes,3.01,10.15
Eichhornia_diversifolia,3.75,11.21
Eichhornia_heterosperma,0.86,0.67
Elachyptera_micrantha,7.97,0.05
Elaeoluma_glabrescens,2.4,13.87
Elaeoluma_nuda,1.01,7.22
Elaeoluma_schomburgkiana,0.67,7.37
Eleocharis_acutangula,3.4,9.11
Eleocharis_plicarhachis,2.87,11.14
Eleocharis_subfoliata,0.29,2.89
Elizabetha_bicolor,5.14,0
Elizabetha_durissima,0.83,0
Elizabetha_fanshawei,0.37,0
Elizabetha_macrostachya,0.33,0
Elleanthus_caravata,0.3,5.27
Elleanthus_virgatus,0.84,0.62
Elvasia_calophyllea,2.75,1.38
Elvasia_canescens,0.39,0.25
Elvasia_elvasioides,0.94,6.74
Elvasia_essequibensis,0.03,0.01
Elvasia_macrostipularis,0.08,0.11
Elvasia_quinqueloba,0.38,0.75
Emmotum_amazonicum,0.32,0
Emmotum_fagifolium,0.96,5.06
Emmotum_floribundum,0.45,6.57
Emmotum_nitens,7.41,8.98
Encyclia_conchaechila,10.86,0
Encyclia_mapuerae,2.43,0
Endlicheria_arenosa,0.84,1.01
Endlicheria_bracteolata,0.89,10.92
Endlicheria_chalisea,1.51,10.64
Endlicheria_coriacea,0.56,0.3
Endlicheria_dictifarinosa,0.87,1.11
Endlicheria_directonervia,2.71,6.36
Endlicheria_formosa,1.73,10.28
Endlicheria_gracilis,1.29,11.83
Endlicheria_klugii,1.38,3.96
Endlicheria_longicaudata,3.7,14.66
Endlicheria_lorastemon,0.67,1.42
Endlicheria_macrophylla,2,20.8
Endlicheria_metallica,1.4,11.25
Endlicheria_mishuyacensis,0.51,2.04
Endlicheria_multiflora,0.67,12.62
Endlicheria_paniculata,3.03,6.65
Endlicheria_punctulata,0.1,2.93
Endlicheria_pyriformis,1.41,12.94
Endlicheria_rubra,1.78,2.52
Endlicheria_rubriflora,1.1,4.89
Endlicheria_sprucei,2.33,6.57
Endlicheria_verticillata,1.13,2.49
Endlicheria_vinotincta,0.08,2.94
Ennealophus_foliosus,0.24,0.7
Enterolobium_oldemanii,0.24,0.02
Eperua_bijuga,5.44,2.88
Eperua_grandiflora,0.4,5.23
Eperua_obtusata,0.22,0.46
Eperua_purpurea,0.28,0.88
Eperua_rubiginosa,0.66,5.05
Eperua_schomburgkiana,1.28,4.5
Ephedranthus_boliviensis,6.31,0.8
Epidendrum_calanthum,2.04,8.95
Epidendrum_carpophorum,1.46,4.16
