species,group,Exposure
Acaulimalva_stuebelii,Plants,1.255723241
Acca_lanuginosa,Plants,5.240075626
Accipiter_bicolor,Birds,0.917931053
Accipiter_collaris,Birds,0.703762464
Accipiter_poliogaster_N,Birds,0.227179882
Accipiter_poliogaster_R,Birds,0.874320726
Accipiter_striatus_R,Birds,1.409788289
Accipiter_superciliosus,Birds,0.913780773
Acestridium_dichromum,Fishes,0.629064758
Acestridium_discus,Fishes,0.754045755
Acestridium_gymnogaster,Fishes,0.57173705
Acestridium_martini,Fishes,0.505776202
Acestridium_scutatum,Fishes,0.940730426
Acestridium_triplax,Fishes,1.386528327
Acestrocephalus_acutus,Fishes,1.070969882
Acestrocephalus_boehlkei,Fishes,0.627462855
Acestrocephalus_nigrifasciatus,Fishes,3.193710918
Acestrocephalus_pallidus,Fishes,1.170808317
Acestrocephalus_sardina,Fishes,0.840216377
Acestrocephalus_stigmatus,Fishes,4.114645368
Acestrorhynchus_abbreviatus,Fishes,0.687593796
Acestrorhynchus_altus,Fishes,0.95115971
Acestrorhynchus_falcatus,Fishes,0.881515181
Acestrorhynchus_falcirostris,Fishes,0.800206756
Acestrorhynchus_grandoculis,Fishes,0.592907622
Acestrorhynchus_heterolepis,Fishes,0.793008522
Acestrorhynchus_isalineae,Fishes,1.135367501
Acestrorhynchus_lacustris,Fishes,0.982637205
Acestrorhynchus_maculipinna,Fishes,0.837700106
Acestrorhynchus_microlepis,Fishes,0.845959474
Acestrorhynchus_minimus,Fishes,0.917022542
Acestrorhynchus_nasutus,Fishes,0.574299494
Acestrorhynchus_pantaneiro,Fishes,1.115137645
Achatocarpus_brasiliensis,Plants,2.304921065
Achatocarpus_nigricans,Plants,1.217838169
Achatocarpus_praecox,Plants,1.46058672
Achetaria_bicolor,Plants,0.046504423
Achetaria_guianensis,Plants,2.481850062
Achetaria_ocymoides,Plants,2.552297489
Achirus_achirus,Fishes,0.53071188
Achnopogon_steyermarkii,Plants,2.952527138
Achyranthes_indica,Plants,1.442703882
Achyrocline_alata,Plants,1.323409075
Achyrocline_arrojadoana,Plants,2.304921065
Achyrocline_flaccida,Plants,1.118146587
Achyrocline_gardnerii,Plants,2.304921065
Achyrocline_latifolia,Plants,2.666127221
Achyrocline_ramosissima,Plants,1.380916983
Achyrocline_tomentosa,Plants,1.806514474
Achyrocline_vargasiana,Plants,0.675198428
Aciachne_acicularis,Plants,1.287209787
Aciachne_flagellifera,Plants,0.195708801
Acianthera_adirii,Plants,2.304921065
Acianthera_aphthosa,Plants,1.608426343
Acianthera_casapensis,Plants,7.82079458
Acianthera_ciliata,Plants,0.992436287
Acianthera_deserta,Plants,3.072662811
Acianthera_erythrogramma,Plants,7.82079458
Acianthera_hamosa,Plants,2.98352065
Acianthera_miqueliana,Plants,6.352002576
Acianthera_pubescens,Plants,1.993886348
Acianthera_violaceomaculata,Plants,2.304921065
Acicarpha_procumbens,Plants,2.040209892
Acicarpha_tribuloides,Plants,1.285552612
Acidodontium_exaltatum,Plants,1.590050619
Acidodontium_pallidum,Plants,0.950963463
Acilepidopsis_echitifolia,Plants,0.94364321
Acineta_alticola,Plants,0.473555942
Acinopetala_wendlandiana,Plants,7.82079458
Acioa_dolichopoda,Plants,0.388159758
Acioa_edulis,Plants,0.408684648
Acioa_schultesii,Plants,0.556411564
Aciotis_annua,Plants,1.146417686
Aciotis_ferreirana,Plants,6.851585278
Aciotis_paludosa,Plants,4.532865012
Aciotis_purpurascens,Plants,1.029432079
Aciotis_viscida,Plants,0.80925005
Acisanthera_alsinaefolia,Plants,0.615760348
Acisanthera_inundata,Plants,2.399742124
Acisanthera_pulchella,Plants,2.304921065
Acisanthera_punctatissima,Plants,1.498682389
Acisanthera_quadrata,Plants,0.541151923
Acisanthera_tetramera,Plants,0.867522147
Acisanthera_tetraptera,Plants,3.054183677
Acisanthera_variabilis,Plants,0.681190145
Ackermania_palorae,Plants,0.369812473
Acmanthera_cowanii,Plants,3.670402271
Acmanthera_duckei,Plants,3.350389564
Acmanthera_latifolia,Plants,1.025139306
Acmella_alba,Plants,1.721316244
Acmella_alpestris,Plants,4.150402061
Acmella_brachyglossa,Plants,1.203153352
Acmella_ciliata,Plants,0.846182616
Acmella_decumbens,Plants,1.870037432
Acmella_mutisii,Plants,1.387969439
Acnistus_gesnerioides,Plants,7.503722505
Acnistus_glabratus,Plants,2.304921065
Acnodon_normani,Fishes,1.810342226
Acnodon_oligacanthus,Fishes,2.955408853
Acnodon_senai,Fishes,3.495229649
Acosmium_bijugum,Plants,1.354786703
Acosmium_dasycarpum,Plants,0.676444644
Acosmium_diffusissimum,Plants,0.629085138
Acosmium_nitens,Plants,1.079428768
Acosmium_praeclarum,Plants,1.100303106
Acrobrycon_ipanquianus,Fishes,2.346691043
Acroceras_excavatum,Plants,1.536302489
Acrocomia_aculeata,Plants,1.249271609
Acrocomia_hassleri,Plants,0.735325815
Acrodiclidium_puchury-major,Plants,2.304921065
Acrolejeunea_emergens,Plants,0.800630454
Acrolejeunea_heterophylla,Plants,1.359481102
Acronia_bivalvis,Plants,2.104561987
Acronia_coriacardia,Plants,1.038224139
Acronia_discoidea,Plants,19.70239006
Acronia_linguifera,Plants,0.162500596
Acronia_scabrilinguis,Plants,6.577847255
